stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:14:JDFS-2,,"Blšany,Malá Černoc",,50.2070868,13.54881,935,,0,,Europe/Prague,0,
2:14:JDFS-3,,Očihov,,50.19827895,13.4612968,936,,0,,Europe/Prague,0,
2:14:JDFS-4,,"Podbořany,,nem.",,50.2273903,13.4153371,931,,0,,Europe/Prague,0,
2:14:JDFS-5,,"Blšany,Soběchleby",,50.21525355,13.5161195,935,,0,,Europe/Prague,0,
2:14:JDFS-6,,"Blšany,Stachov",,50.2191022,13.49351835,937,,0,,Europe/Prague,0,
2:14:JDFS-7,,"Měcholupy,Velká Černoc",,50.20242,13.5857935,924,,0,,Europe/Prague,0,
2:14:JDFS-8,,"Podbořany,,nám.",,50.2282143,13.4086647,931,,0,,Europe/Prague,0,
2:14:JDFS-9,,"Podbořany,,Nádražní",,50.2255249,13.4065351,931,,0,,Europe/Prague,0,
2:150:JDFS-16,,"Novosedlice,,hřbitov",,50.6575851,13.8182621,421,,0,,Europe/Prague,0,
2:150:JDFS-23,,"Dubí,Pozorka",,50.662893425,13.798852325,421,,0,,Europe/Prague,0,
2:150:JDFS-24,,"Dubí,Pozorka,Novosedlická",,50.6588063,13.8063345,421,,0,,Europe/Prague,0,
2:150:JDFS-25,,"Dubí,Pozorka,závod",,50.65926555,13.8096303,421,,0,,Europe/Prague,0,
2:150:JDFS-8,,"Dubí,Bystřice,gymnázium",,50.6656786,13.80261895,421,,0,,Europe/Prague,0,
2:150:JDFS-9,,"Dubí,Bystřice,škola",,50.66860275,13.80635735,421,,0,,Europe/Prague,0,
2:151:JDFS-1,,"Duchcov,,koupaliště",,50.61432,13.7346849,411,,0,,Europe/Prague,0,
2:151:JDFS-25,,"Krupka,Soběchleby",,50.67341785,13.8957796,431,,0,,Europe/Prague,0,
2:151:JDFS-27,,"Krupka,Soběchleby,točna",,50.6731,13.8925285,431,,0,,Europe/Prague,0,
2:151:JDFS-4,,"Duchcov,,Teplická",,50.6068306,13.74777935,411,,0,,Europe/Prague,0,
2:151:JDFS-5,,"Duchcov,,žel.st.",,50.61733815,13.7536893,411,,0,,Europe/Prague,0,
2:151:JDFS-9,,Lahošť,,50.6214161,13.7579198,491,,0,,Europe/Prague,0,
2:154:JDFS-1,,Deštnice,,50.2276730666667,13.6073691333333,923,,0,,Europe/Prague,0,
2:154:JDFS-10,,"Měcholupy,,žel.přejezd",,50.25379,13.5638742,921,,0,,Europe/Prague,0,
2:154:JDFS-11,,"Holedeč,Stránky,rozc.",,50.29265975,13.56870125,922,,0,,Europe/Prague,0,
2:154:JDFS-12,,"Holedeč,Veletice",,50.2969971,13.5759573,922,,0,,Europe/Prague,0,
2:154:JDFS-15,,"Žatec,,Sv.Čecha",,50.32104825,13.54350565,901,,0,,Europe/Prague,0,
2:154:JDFS-16,,"Žatec,,teplárna Perč",,50.3038044,13.5503858,901,,0,,Europe/Prague,0,
2:154:JDFS-19,,"Měcholupy,Želeč",,50.2382774,13.55813,921,,0,,Europe/Prague,0,
2:154:JDFS-2,,"Deštnice,,rozc.1.0",,50.2347177,13.5886154,923,,0,,Europe/Prague,0,
2:154:JDFS-20,,"Měcholupy,Želeč,rozc.",,50.25792,13.5544043,921,,0,,Europe/Prague,0,
2:154:JDFS-3,,Holedeč,,50.27817,13.56115175,922,,0,,Europe/Prague,0,
2:154:JDFS-4,,"Holedeč,Holedeček",,50.28338964,13.56006792,"922,922",,0,,Europe/Prague,0,
2:154:JDFS-6,,"Měcholupy,,škola",,50.2703281,13.53883815,921,,0,,Europe/Prague,0,
2:154:JDFS-7,,"Měcholupy,Milošice",,50.28363,13.5281487,921,,0,,Europe/Prague,0,
2:154:JDFS-8,,"Deštnice,,Nová Hospoda rozc.",,50.21716845,13.58819035,924,,0,,Europe/Prague,0,
2:154:JDFS-9,,"Deštnice,,rozc.Sádek",,50.2437954,13.5767331,922,,0,,Europe/Prague,0,
2:155:JDFS-23,,"Bohušovice n.Ohří,,záv.",,50.49128,14.149888,"763,8",,0,,Europe/Prague,0,
