route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
-CISR-512436-1,2:7:CIST-512436-1-203,2:7:CIST-512436-1-203,,512436 203,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-204,2:7:CIST-512436-1-204,,512436 204,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-205,2:7:CIST-512436-1-205,,512436 205,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-206,2:7:CIST-512436-1-206,,512436 206,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-302,2:7:CIST-512436-1-302,,512436 302,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-401,2:7:CIST-512436-1-401,,512436 401,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-402,2:7:CIST-512436-1-402,,512436 402,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-403,2:7:CIST-512436-1-403,,512436 403,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-404,2:7:CIST-512436-1-404,,512436 404,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-405,2:7:CIST-512436-1-405,,512436 405,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-406,2:7:CIST-512436-1-406,,512436 406,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-407,2:7:CIST-512436-1-407,,512436 407,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-408,2:7:CIST-512436-1-408,,512436 408,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-410,2:7:CIST-512436-1-410,,512436 410,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-101,2:8:CIST-512410-1-101,,512410 101,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-102,2:8:CIST-512410-1-102,,512410 102,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-103,2:8:CIST-512410-1-103,,512410 103,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-104,2:8:CIST-512410-1-104,,512410 104,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-106,2:8:CIST-512410-1-106,,512410 106,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-107,2:8:CIST-512410-1-107,,512410 107,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-110,2:8:CIST-512410-1-110,,512410 110,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-111,2:8:CIST-512410-1-111,,512410 111,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-112,2:8:CIST-512410-1-112,,512410 112,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-113,2:8:CIST-512410-1-113,,512410 113,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-114,2:8:CIST-512410-1-114,,512410 114,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-115,2:8:CIST-512410-1-115,,512410 115,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-117,2:8:CIST-512410-1-117,,512410 117,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-118,2:8:CIST-512410-1-118,,512410 118,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-119,2:8:CIST-512410-1-119,,512410 119,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-120,2:8:CIST-512410-1-120,,512410 120,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-121,2:8:CIST-512410-1-121,,512410 121,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-122,2:8:CIST-512410-1-122,,512410 122,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-123,2:8:CIST-512410-1-123,,512410 123,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-124,2:8:CIST-512410-1-124,,512410 124,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-125,2:8:CIST-512410-1-125,,512410 125,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-126,2:8:CIST-512410-1-126,,512410 126,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-127,2:8:CIST-512410-1-127,,512410 127,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-128,2:8:CIST-512410-1-128,,512410 128,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-129,2:8:CIST-512410-1-129,,512410 129,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-130,2:8:CIST-512410-1-130,,512410 130,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-131,2:8:CIST-512410-1-131,,512410 131,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-132,2:8:CIST-512410-1-132,,512410 132,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-133,2:8:CIST-512410-1-133,,512410 133,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-134,2:8:CIST-512410-1-134,,512410 134,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-135,2:8:CIST-512410-1-135,,512410 135,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-136,2:8:CIST-512410-1-136,,512410 136,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-137,2:8:CIST-512410-1-137,,512410 137,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-138,2:8:CIST-512410-1-138,,512410 138,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-139,2:8:CIST-512410-1-139,,512410 139,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-140,2:8:CIST-512410-1-140,,512410 140,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-141,2:8:CIST-512410-1-141,,512410 141,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-142,2:8:CIST-512410-1-142,,512410 142,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-143,2:8:CIST-512410-1-143,,512410 143,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-144,2:8:CIST-512410-1-144,,512410 144,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-145,2:8:CIST-512410-1-145,,512410 145,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-146,2:8:CIST-512410-1-146,,512410 146,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-147,2:8:CIST-512410-1-147,,512410 147,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-149,2:8:CIST-512410-1-149,,512410 149,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-150,2:8:CIST-512410-1-150,,512410 150,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-151,2:8:CIST-512410-1-151,,512410 151,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-152,2:8:CIST-512410-1-152,,512410 152,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-153,2:8:CIST-512410-1-153,,512410 153,1,,,1,2
